Coaster,Park,City,State,Census Region,Year Opened,AgeGroup,TopSpeed,MaxHeight,Scale,Type,Design,Drop,Length,Duration,Inversions?,# of Inversions,Make,Latitude,Longitude
Journey to Atlantis,SeaWorld San Diego,San Diego,California,West,2004,3:Newest,42,100,Thrill,Steel,Sit Down,60,780,300,No,0,Mack Rides GmbH & Co KG,32.7241,-117.1709
Journey to Atlantis,SeaWorld Orlando,Orlando,Florida,South,1998,2:Recent,42,100,Thrill,Steel,Sit Down,60,780,300,No,0,Mack Rides GmbH & Co KG,28.5452,-81.3733
Journey to Atlantis,SeaWorld San Antonio,San Antonio,Texas,South,2007,3:Newest,47,100,Thrill,Steel,Sit Down,60,780,210,No,0,Mack Rides GmbH & Co KG,29.4684,-98.5289
Joust,Dutch Wonderland,Lancaster,Pennsylvania,Northeast,1998,2:Recent,NA,17,Family,Steel,Sit Down,NA,350,60,No,0,Chance Rides,40.0766,-76.3107
Judge Roy Scream,Six Flags Over Texas,Arlington,Texas,South,1980,2:Recent,45,71,Thrill,Wood,Sit Down,65,2670,90,No,0,NA,32.6356,-97.1488
Kentucky Flyer,Kentucky Kingdom,Louisville,Kentucky,South,2019,3:Newest,35,47,Family,Wood,Sit Down,44,1288,NA,No,0,Gravitykraft Corporation,38.189,-85.6768
Kentucky Rumbler,Beech Bend,Bowling Green,Kentucky,South,2006,3:Newest,47.3,96,Thrill,Wood,Sit Down,80.2,2827,90,No,0,Great Coasters International,37.0174,-86.4518
Kiddie Coaster,Lakeside Amusement Park,Denver,Colorado,West,2001,3:Newest,NA,18,Kiddie,Steel,Sit Down,10,300,73,No,0,Miler Manufacturing,39.7602,-104.9966
Kiddie Coaster,Lake Compounce,Bristol,Connecticut,Northeast,1997,2:Recent,NA,18,Kiddie,Steel,Sit Down,10,300,73,No,0,Molina & Son's,41.6812,-72.9396
Kiddie Coaster,Fun Spot America,Kissimmee,Florida,South,2012,3:Newest,NA,11.5,Family,Steel,Sit Down,NA,NA,68,No,0,E&F Miler Industries,28.3064,-81.4255
Kiddie Coaster,Fun Spot America Atlanta,Fayetteville,Georgia,South,2019,3:Newest,NA,18,Family,Steel,Sit Down,10,300,73,No,0,E&F Miler Industries,33.4679,-84.4806
Kiddie Coaster,Family Kingdom Amusement Park,Myrtle Beach,South Carolina,South,1994,2:Recent,NA,18,Family,Steel,Sit Down,10,300,73,No,0,D.P.V. Rides,33.7716,-78.7847
Kiddy Coaster,Playland Park,Rye,New York,Northeast,1928,1:Older,NA,18,Family,Wood,Sit Down,10,300,73,No,0,NA,40.9789,-73.6933
Kiddy Hawk,Carowinds,Charlotte,North Carolina,South,2003,3:Newest,26,48.6,Family,Steel,Inverted,NA,1122.1,90,No,0,Vekoma,35.26,-80.8042
Kingda Ka,Six Flags Great Adventure,Jackson,New Jersey,Northeast,2005,3:Newest,128,456,Extreme,Steel,Sit Down,418,3118,28,No,0,Intamin Amusement Rides,40.1052,-74.3528
Kingdom Coaster,Dutch Wonderland,Lancaster,Pennsylvania,Northeast,1992,2:Recent,40,55,Thrill,Wood,Sit Down,50,2000,90,No,0,"Custom Coasters International, Inc.",40.0766,-76.3107
Klondike Gold Rusher,Wild Waves Theme & Water Park,Federal Way,Washington,West,2002,3:Newest,35,70,Thrill,Steel,Sit Down,35,2590,54,No,0,Zamperla,47.3077,-122.3158
Kombo,Indianapolis Zoo,Indianapolis,Indiana,Midwest,2001,3:Newest,19.9,19.7,Family,Steel,Sit Down,NA,652.9,NA,No,0,Zierer,39.7751,-86.1322
Kong,Six Flags Discovery Kingdom,Vallejo,California,West,1998,2:Recent,49.7,109.3,Extreme,Steel,Inverted,95,2260.5,96,Yes,5,Vekoma,38.1874,-122.2241
Kozmo's Kurves,Knoebels Amusement Resort,Elysburg,Pennsylvania,Northeast,2009,3:Newest,NA,17,Family,Steel,Sit Down,NA,NA,108,No,0,E&F Miler Industries,40.8594,-76.5508
Kraken,SeaWorld Orlando,Orlando,Florida,South,2000,3:Newest,65,149,Extreme,Steel,Sit Down,144,4177,122,Yes,7,Bolliger & Mabillard,28.5452,-81.3733
Krazy Koaster,Silverwood Theme Park,Athol,Idaho,West,2014,3:Newest,NA,14,Family,Steel,Sit Down,NA,190,NA,No,0,SBF Visa Group,47.9224,-116.686
Kumba,Busch Gardens Tampa,Tampa,Florida,South,1993,2:Recent,60,143,Extreme,Steel,Sit Down,135,3978,174,Yes,7,Bolliger & Mabillard,27.9961,-82.582
La Vibora,Six Flags Over Texas,Arlington,Texas,South,1986,2:Recent,32,60,Thrill,Steel,Bobsled,NA,1490,90,No,0,Intamin Amusement Rides,32.6356,-97.1488
Ladybug Roller Coaster,Carousel Gardens Amusement Park,New Orleans,Louisiana,South,2015,3:Newest,20,30,Family,Steel,Sit Down,NA,NA,NA,No,0,Zierer,29.9583,-90.077
Laff Trakk,Hersheypark,Hershey,Pennsylvania,Northeast,2015,3:Newest,40,50,Thrill,Steel,Sit Down,50,1400,70,No,0,Maurer Rides GmbH,40.2697,-76.6364
Legend,Holiday World,Santa Claus,Indiana,Midwest,2000,3:Newest,59,99,Extreme,Wood,Sit Down,113,4042,120,No,0,"Custom Coasters International, Inc.",38.1176,-86.9286
Legend,Arnolds Park,Arnolds Park,Iowa,Midwest,1930,1:Older,50,63,Thrill,Wood,Sit Down,63,2000,72,No,0,"Outdoor Amusement Enterprise, Inc.",43.3669,-95.1358
Lightning Racer,Hersheypark,Hershey,Pennsylvania,Northeast,2000,3:Newest,51.1,91.6,Extreme,Wood,Sit Down,90,3393,140,No,0,Great Coasters International,40.2697,-76.6364
Lightning Rod,Dollywood,Pigeon Forge,Tennessee,South,2016,3:Newest,73,207,Extreme,Wood,Sit Down,165,3800,147,No,0,Rocky Mountain Construction,35.786,-83.5622
Lightning Run,Kentucky Kingdom,Louisville,Kentucky,South,2014,3:Newest,55,100,Extreme,Steel,Sit Down,100,2500,120,No,0,Chance Rides,38.189,-85.6768
Lil' Dipper,Camden Park,Huntington,West Virginia,South,1967,1:Older,NA,17,Family,Wood,Sit Down,8,450,65,No,0,National Amusement Device Company,38.3717,-82.4129
Lil Dipper Roller Coaster,Sluggers & Putters,Canal Fulton,Ohio,Midwest,2015,3:Newest,7,12,Kiddie,Steel,Sit Down,6,280,50,No,0,Allan Herschell Company,40.8898,-81.5976
Lil' Phantom,Kennywood,West Mifflin,Pennsylvania,Northeast,1996,2:Recent,15,7,Kiddie,Steel,Sit Down,6,154,30,No,0,Molina & Son's,40.3625,-79.8984
Little Coaster,Arnolds Park,Arnolds Park,Iowa,Midwest,2002,3:Newest,7,12,Kiddie,Steel,Sit Down,6,280,50,No,0,Miler Manufacturing,43.3669,-95.1358
Little Dipper,Castle Amusement Park,Riverside,California,West,2002,3:Newest,7,12,Kiddie,Steel,Sit Down,6,280,50,No,0,Miler Manufacturing,33.995,-117.3732
Little Dipper,Quassy Amusement Park,Middlebury,Connecticut,Northeast,1952,1:Older,7,12,Kiddie,Steel,Sit Down,6,280,50,No,0,Allan Herschell Company,41.5283,-73.1165
Little Dipper,Six Flags Great America,Gurnee,Illinois,Midwest,2010,3:Newest,25,28,Family,Wood,Sit Down,20,700,50,No,0,"Philadelphia Toboggan Coasters, Inc.",42.3751,-87.9397
Little Dipper,Cedar Valley's Wild Frontier Fun Park,Comins,Michigan,Midwest,2017,3:Newest,7,12,Kiddie,Steel,Sit Down,6,280,50,No,0,Allan Herschell Company,44.7564,-84.0464
Little Dipper,Midway State Park,Bemus Point,New York,Northeast,1956,1:Older,7,12,Family,Steel,Sit Down,6,280,50,No,0,Allan Herschell Company,42.1617,-79.3917
Little Dipper,Memphis Kiddie Park,Cleveland,Ohio,Midwest,1952,1:Older,7,12,Kiddie,Steel,Sit Down,6,280,50,No,0,Allan Herschell Company,41.4894,-81.6675
Little Dipper,Tuscora Park,New Philadelphia,Ohio,Midwest,1990,2:Recent,7,12,Kiddie,Steel,Sit Down,6,280,50,No,0,Allan Herschell Company,40.4898,-81.4457
Little Dipper,Conneaut Lake Park,Conneaut Lake,Pennsylvania,Northeast,1950,1:Older,7,12,Kiddie,Steel,Sit Down,6,280,50,No,0,Allan Herschell Company,41.6162,-80.3068
Little Dipper,Little Amerricka,Marshall,Wisconsin,Midwest,1993,2:Recent,7,12,Kiddie,Steel,Sit Down,6,280,50,No,0,Allan Herschell Company,43.1739,-89.0913
Little Fire Ball,Kiddie Park,Bartlesville,Oklahoma,South,1953,1:Older,8,12,Family,Steel,Sit Down,NA,280,NA,No,0,Allan Herschell Company,36.7283,-96.0676
Little Leaper,Lakemont Park,Altoona,Pennsylvania,Northeast,1993,2:Recent,NA,15,Kiddie,Steel,Sit Down,6,280,27,No,0,Allan Herschell Company,40.4894,-78.3499
Little Titans,Mt. Olympus Water & Theme Park,Wisconsin Dells,Wisconsin,Midwest,2000,3:Newest,NA,NA,Family,Steel,Sit Down,9,NA,72,No,0,E&F Miler Industries,43.6275,-89.771
Loch Ness Monster,Busch Gardens Williamsburg,Williamsburg,Virginia,South,1978,1:Older,60,130,Extreme,Steel,Sit Down,114.2,3240,130,Yes,2,Arrow Dynamics,37.3105,-76.7468
Log Roller Coaster,Yellowstone Bear World,Rexburg,Idaho,West,2016,3:Newest,NA,14,Family,Steel,Sit Down,NA,190,NA,No,0,SBF Visa Group,43.7913,-111.7714
Loop Roller Coaster,CJ Barrymore's Family Entertainment Center,Clinton Township,Michigan,Midwest,2016,3:Newest,NA,36.1,Extreme,Steel,Sit Down,31.8,1197.5,59,Yes,1,Pinfari,42.5512,-82.9167
Looping Star,Jolly Roger at the Pier,Ocean City,Maryland,South,1996,2:Recent,48,36.1,Extreme,Steel,Sit Down,32,1197.5,77,Yes,1,Pinfari,38.3505,-75.1289
Looping Star,Keansburg Amusement Park,Keansburg,New Jersey,Northeast,2015,3:Newest,48,36.1,Extreme,Steel,Sit Down,32,1197.5,77,Yes,1,Pinfari,40.4381,-74.1279
Lost Coaster of Superstition Mountain,Indiana Beach,Monticello,Indiana,Midwest,2002,3:Newest,20,35,Thrill,Wood,Sit Down,35,1400,141,No,0,"Custom Coasters International, Inc.",40.7792,-86.7495
Mad Mouse,Michigan's Adventure,Muskegon,Michigan,Midwest,1999,2:Recent,35,68,Thrill,Steel,Sit Down,30,1268,90,No,0,Arrow Dynamics,43.2377,-86.2542
Mad Mouse,Valleyfair!,Shakopee,Minnesota,Midwest,1999,2:Recent,30,50,Thrill,Steel,Sit Down,30,1257,90,No,0,Arrow Dynamics,44.7986,-93.5194
Magic Flyer,Six Flags Magic Mountain,Valencia,California,West,1971,1:Older,10,10,Kiddie,Steel,Sit Down,8,350,NA,No,0,Bradley and Kaye,34.4658,-118.5538
Magnum XL-200,Cedar Point,Sandusky,Ohio,Midwest,1989,2:Recent,72,205,Extreme,Steel,Sit Down,194.7,5106,120,No,0,Arrow Dynamics,41.3991,-82.7244
Mako,SeaWorld Orlando,Orlando,Florida,South,2016,3:Newest,73,200,Extreme,Steel,Sit Down,200,4760,134,No,0,Bolliger & Mabillard,28.5452,-81.3733
Mamba,Worlds of Fun,Kansas City,Missouri,Midwest,1998,2:Recent,75,205,Extreme,Steel,Sit Down,205,5600,180,No,0,Morgan,39.1024,-94.5986
Manta,SeaWorld San Diego,San Diego,California,West,2012,3:Newest,43,30,Extreme,Steel,Sit Down,54,2800,120,No,0,Mack Rides GmbH & Co KG,32.7241,-117.1709
Manta,SeaWorld Orlando,Orlando,Florida,South,2009,3:Newest,56,140,Extreme,Steel,Flying,113,3359,155,Yes,4,Bolliger & Mabillard,28.5452,-81.3733
Matterhorn Bobsleds,Disneyland,Anaheim,California,West,1959,1:Older,NA,80,Thrill,Steel,Sit Down,NA,2037,127,No,0,Arrow Dynamics,33.845,-117.9522
Maverick,Cedar Point,Sandusky,Ohio,Midwest,2007,3:Newest,70,105,Extreme,Steel,Sit Down,100,4450,150,Yes,2,Intamin Amusement Rides,41.3991,-82.7244
Maxx Force,Six Flags Great America,Gurnee,Illinois,Midwest,2019,3:Newest,78,175,Extreme,Steel,Sit Down,172,1800,23,Yes,5,S&S Sansei Technologies,42.3751,-87.9397
Medusa,Six Flags Discovery Kingdom,Vallejo,California,West,2000,3:Newest,65,150,Extreme,Steel,Sit Down,150,3937,195,Yes,7,Bolliger & Mabillard,38.1874,-122.2241
Merlin's Mayhem,Dutch Wonderland,Lancaster,Pennsylvania,Northeast,2018,3:Newest,38,60,Family,Steel,Inverted,NA,1300,51,No,0,S&S Sansei Technologies,40.0766,-76.3107
Merlin's Revenge,Castle Amusement Park,Riverside,California,West,2001,3:Newest,21.7,27.9,Family,Steel,Sit Down,20,679.2,44,No,0,Vekoma,33.995,-117.3732
Meteor,Little Amerricka,Marshall,Wisconsin,Midwest,2007,3:Newest,20,28,Family,Wood,Sit Down,20,900,50,No,0,"Philadelphia Toboggan Coasters, Inc.",43.1739,-89.0913
Millennium Force,Cedar Point,Sandusky,Ohio,Midwest,2000,3:Newest,93,310,Extreme,Steel,Sit Down,300,6595,140,No,0,Intamin Amusement Rides,41.3991,-82.7244
Mind Bender,Six Flags Over Georgia,Austell,Georgia,South,1978,1:Older,50,97,Extreme,Steel,Sit Down,80,3253,153,Yes,2,Schwarzkopf,33.8369,-84.6307
Mind Eraser,Elitch Gardens,Denver,Colorado,West,1997,2:Recent,49.7,109.3,Extreme,Steel,Inverted,86,2260.5,96,Yes,5,Vekoma,39.7602,-104.9966
Mind Eraser,Six Flags America,Upper Marlboro,Maryland,South,1995,2:Recent,49.7,109.3,Extreme,Steel,Inverted,95,2260.5,96,Yes,5,Vekoma,38.8162,-76.7861
Mind Eraser,Six Flags Darien Lake,Darien Center,New York,Northeast,1997,2:Recent,49.7,109.3,Extreme,Steel,Inverted,86,2260.5,85,Yes,5,Vekoma,42.896,-78.3857
Mine Blower,Fun Spot America,Kissimmee,Florida,South,2017,3:Newest,48.5,83,Extreme,Wood,Sit Down,80.5,2290,101,Yes,1,Gravitykraft Corporation,28.3064,-81.4255
Miner Mike,Sam's Fun City,Pensacola,Florida,South,2000,3:Newest,8,8,Kiddie,Steel,Sit Down,4,NA,20,No,0,Wisdom Rides,30.4288,-87.2225
Miner Mike,Haunted Trails,Burbank,Illinois,Midwest,1994,2:Recent,8,8,Kiddie,Steel,Sit Down,4,NA,20,No,0,Wisdom Rides,41.7339,-87.7795
Miner Mike,Harvest Tyme Pumpkin Patch,Lowell,Indiana,Midwest,2014,3:Newest,8,8,Kiddie,Steel,Sit Down,4,NA,20,No,0,Wisdom Rides,41.2801,-87.4113
Miner Mike,Funtasticks,Pineville,North Carolina,South,2018,3:Newest,8,8,Kiddie,Steel,Sit Down,4,NA,20,No,0,Wisdom Rides,35.0785,-80.8911
Miner Mike,Gatti's Pizza,Abilene,Texas,South,2013,3:Newest,8,8,Kiddie,Steel,Sit Down,4,NA,20,No,0,Wisdom Rides,32.5765,-99.6653
Miner Mike,Knucklehead's Bowling & Family Entertainment,Wisconsin Dells,Wisconsin,Midwest,2007,3:Newest,8,8,Family,Steel,Sit Down,4,NA,20,No,0,Wisdom Rides,43.6275,-89.771
Mini Mine Train,Six Flags Over Texas,Arlington,Texas,South,1969,1:Older,20,20,Family,Steel,Sit Down,NA,910,70,No,0,Arrow Dynamics,32.6356,-97.1488
Mini Mouse,Victorian Gardens,New York,New York,Northeast,2003,3:Newest,NA,8,Family,Steel,Sit Down,NA,262,50,No,0,Zamperla,40.6886,-74.0182
Monster,Adventureland,Altoona,Iowa,Midwest,2016,3:Newest,65,133,Extreme,Steel,Sit Down,128,2500,120,Yes,5,Gerstlauer Amusement Rides GmbH,41.651,-93.4685
Montezooma's Revenge,Knott's Berry Farm,Buena Park,California,West,1978,1:Older,55,148,Extreme,Steel,Sit Down,137,800,36,Yes,1,Schwarzkopf,33.8463,-118.01220000000001
Montu,Busch Gardens Tampa,Tampa,Florida,South,1996,2:Recent,60,150,Extreme,Steel,Inverted,128,3983,180,Yes,7,Bolliger & Mabillard,27.9961,-82.582
Moto Coaster,Six Flags Darien Lake,Darien Center,New York,Northeast,2008,3:Newest,37.3,42.7,Thrill,Steel,Sit Down,NA,1194.2,NA,No,0,Zamperla,42.896,-78.3857
Mr. Freeze Reverse Blast,Six Flags St. Louis,Eureka,Missouri,Midwest,1998,2:Recent,70,218,Extreme,Steel,Sit Down,194,1300,90,Yes,1,Premier Rides,38.5128,-90.6306
Mr. Freeze Reverse Blast,Six Flags Over Texas,Arlington,Texas,South,1998,2:Recent,70,218,Extreme,Steel,Sit Down,194,1300,90,Yes,1,Premier Rides,32.6356,-97.1488
Myrtle Turtle,Pavilion Park,Myrtle Beach,South Carolina,South,2014,3:Newest,NA,14,Family,Steel,Sit Down,0,190,NA,No,0,SBF Visa Group,33.7716,-78.7847
Mystery Mine,Dollywood,Pigeon Forge,Tennessee,South,2007,3:Newest,43.5,85.3,Extreme,Steel,Sit Down,75.2,1804.5,150,Yes,2,Gerstlauer Amusement Rides GmbH,35.786,-83.5622
Mystic Timbers,Kings Island,Mason,Ohio,Midwest,2017,3:Newest,53,109.2,Extreme,Wood,Sit Down,98,3265,120,No,0,Great Coasters International,39.3601,-84.3099
New Mexico Rattler,Cliff's Amusement Park,Albuquerque,New Mexico,West,2002,3:Newest,47,80,Thrill,Wood,Sit Down,75,2750,75,No,0,"Custom Coasters International, Inc.",35.1996,-106.6448
New Revolution,Six Flags Magic Mountain,Valencia,California,West,1976,1:Older,55,113,Extreme,Steel,Sit Down,72,3457,132,Yes,1,Schwarzkopf,34.4658,-118.5538
New Texas Giant,Six Flags Over Texas,Arlington,Texas,South,2011,3:Newest,65,153,Extreme,Steel,Sit Down,147,4200,177,No,0,Rocky Mountain Construction,32.6356,-97.1488
Nickelodeon Slime Streak,Nickelodeon Universe Theme Park,East Rutherford,New Jersey,Northeast,2019,3:Newest,37,70,Family,Steel,Sit Down,NA,1263,70,No,0,Chance Rides,40.8284,-74.0939
Nighthawk,Carowinds,Charlotte,North Carolina,South,2004,3:Newest,51,115,Extreme,Steel,Flying,100,2766,110,Yes,5,Vekoma,35.26,-80.8042
Ninja,Six Flags Magic Mountain,Valencia,California,West,1988,2:Recent,55,85,Thrill,Steel,Suspended,75,2700,90,No,0,Arrow Dynamics,34.4658,-118.5538
Ninja,Six Flags St. Louis,Eureka,Missouri,Midwest,1989,2:Recent,54.7,108.3,Extreme,Steel,Sit Down,69,2430,120,Yes,4,Vekoma,38.5128,-90.6306
Nitro,Six Flags Great Adventure,Jackson,New Jersey,Northeast,2001,3:Newest,80,230,Extreme,Steel,Sit Down,215,5394,140,No,0,Bolliger & Mabillard,40.1052,-74.3528
Nuclear Rush,Scene75 Entertainment Center,Dublin,Ohio,Midwest,2019,3:Newest,NA,14,Family,Steel,Sit Down,6,190,104,No,0,SBF Visa Group,40.0975,-83.1501
Orient Express,Grady's Family Fun Park,Bloomington,Illinois,Midwest,2019,3:Newest,10,11,Family,Steel,Sit Down,8,280,344,No,0,Wisdom Rides,40.4768,-88.993
Orient Express,Palace Playland,Old Orchard Beach,Maine,Northeast,2000,3:Newest,10,11,Family,Steel,Sit Down,8,280,164,No,0,Wisdom Rides,43.524,-70.3907
Orient Express,Arzo Sports & Fun Park,Alpena,Michigan,Midwest,2015,3:Newest,10,11,Family,Steel,Sit Down,8,280,284,No,0,Wisdom Rides,45.0331,-83.4951
Orient Express,Funworld Game Center,Nashua,New Hampshire,Northeast,2005,3:Newest,10,11,Kiddie,Steel,Sit Down,8,280,224,No,0,Wisdom Rides,42.7413,-71.4588
Oscar's Wacky Taxi,Sesame Place,Langhorne,Pennsylvania,Northeast,2018,3:Newest,34,43,Family,Wood,Sit Down,39,1205,117,No,0,Gravitykraft Corporation,40.18,-74.9121
Outlaw,Adventureland,Altoona,Iowa,Midwest,1993,2:Recent,48,70,Thrill,Wood,Sit Down,67,2800,120,No,0,"Custom Coasters International, Inc.",41.651,-93.4685
Outlaw Run,Silver Dollar City,Branson,Missouri,Midwest,2013,3:Newest,68,107,Extreme,Wood,Sit Down,162,2937,87,Yes,3,Rocky Mountain Construction,36.661,-93.2358
Outpost Express,Wild Adventures,Valdosta,Georgia,South,2000,3:Newest,21.7,27.9,Family,Steel,Sit Down,NA,679.2,44,No,0,Vekoma,30.7539,-83.3321
Pacific Fruit Express,Happy Hollow Park and Zoo,San Jose,California,West,2010,3:Newest,NA,16,Family,Steel,Sit Down,NA,NA,56,No,0,E&F Miler Industries,37.1894,-121.7053
Pandemonium,Six Flags New England,Agawam,Massachusetts,Northeast,2005,3:Newest,31,45,Thrill,Steel,Sit Down,27,1345,60,No,0,Gerstlauer Amusement Rides GmbH,42.0695,-72.6148
Pandemonium,Six Flags St. Louis,Eureka,Missouri,Midwest,2007,3:Newest,31,48,Thrill,Steel,Sit Down,27,1351,96,No,0,Gerstlauer Amusement Rides GmbH,38.5128,-90.6306
Pandemonium,Six Flags Over Texas,Arlington,Texas,South,2008,3:Newest,31,53,Thrill,Steel,Sit Down,27,1351,111,No,0,Gerstlauer Amusement Rides GmbH,32.6356,-97.1488
Pandemonium,Six Flags Fiesta Texas,San Antonio,Texas,South,2007,3:Newest,31,48,Thrill,Steel,Sit Down,27,1351,96,No,0,Gerstlauer Amusement Rides GmbH,29.4684,-98.5289
Patriot,Castles n' Coasters,Phoenix,Arizona,West,1992,2:Recent,25,35,Family,Steel,Sit Down,30,700,164,No,0,Hopkins,33.704,-112.3518
Patriot,California's Great America,Santa Clara,California,West,1991,2:Recent,45,91,Extreme,Steel,Sit Down,80,1920,134,Yes,2,Bolliger & Mabillard,37.3512,-121.9523
Patriot,Worlds of Fun,Kansas City,Missouri,Midwest,2006,3:Newest,60,149,Extreme,Steel,Inverted,123,3081,138,Yes,4,Bolliger & Mabillard,39.1024,-94.5986
Pegasus,Mt. Olympus Water & Theme Park,Wisconsin Dells,Wisconsin,Midwest,1996,2:Recent,30,60,Family,Wood,Sit Down,45,1600,73,No,0,"Custom Coasters International, Inc.",43.6275,-89.771
Pepsi Orange Streak,Nickelodeon Universe,Bloomington,Minnesota,Midwest,1992,2:Recent,30,60,Family,Steel,Sit Down,40,2680,150,No,0,Zierer,43.8666,-93.051
Phantom's Revenge,Kennywood,West Mifflin,Pennsylvania,Northeast,1991,2:Recent,85,160,Extreme,Steel,Sit Down,228,3200,117,No,0,Arrow Dynamics,40.3625,-79.8984
Phobia Phear Coaster,Lake Compounce,Bristol,Connecticut,Northeast,2016,3:Newest,62,150,Extreme,Steel,Sit Down,135,863,NA,Yes,1,Premier Rides,41.6812,-72.9396
Phoenix,Adventureland,Altoona,Iowa,Midwest,2019,3:Newest,37.3,50.9,Thrill,Steel,Sit Down,72,1410.8,NA,No,0,Maurer Rides GmbH,41.651,-93.4685
Phoenix,Knoebels Amusement Resort,Elysburg,Pennsylvania,Northeast,1985,2:Recent,45,78,Thrill,Wood,Sit Down,72,3200,120,No,0,"Philadelphia Toboggan Coasters, Inc.",40.8594,-76.5508
Pirates Hideaway,Casino Pier,Seaside Heights,New Jersey,Northeast,2007,3:Newest,NA,17,Thrill,Steel,Sit Down,NA,NA,79,No,0,Wisdom Rides,39.9443,-74.0729
Polar Coaster,Story Land,Glen,New Hampshire,Northeast,1987,2:Recent,25,20,Family,Steel,Sit Down,NA,1170,95,No,0,Hopkins,44.1101,-71.1826
Poltergeist,Six Flags Fiesta Texas,San Antonio,Texas,South,1999,2:Recent,60,78.8,Extreme,Steel,Sit Down,74,2705,75,Yes,4,Premier Rides,29.4684,-98.5289
Pony Express,Knott's Berry Farm,Buena Park,California,West,2008,3:Newest,38,44.3,Thrill,Steel,Sit Down,NA,1250,NA,No,0,Zamperla,33.8463,-118.01220000000001
Possessed,Dorney Park & Wildwater Kingdom,Allentown,Pennsylvania,Northeast,2008,3:Newest,70,180,Extreme,Steel,Inverted,165,704,60,No,0,Intamin Amusement Rides,40.6027,-75.4692
Powder Keg: A Blast in the Wilderness,Silver Dollar City,Branson,Missouri,Midwest,1999,2:Recent,64,98,Extreme,Steel,Sit Down,110,3506,173,No,0,NA,36.661,-93.2358
Predator,Six Flags Darien Lake,Darien Center,New York,Northeast,1990,2:Recent,50,95,Extreme,Wood,Sit Down,87,3400,110,No,0,Dinn Corporation,42.896,-78.3857
Primeval Whirl,Walt Disney World - Disney's Animal Kingdom,Lake Buena Vista,Florida,South,2002,3:Newest,29.1,42.7,Thrill,Steel,Sit Down,30,1377.9,90,No,0,Reverchon,28.3937,-81.529
Primeval Whirl,Walt Disney World - Disney's Animal Kingdom,Lake Buena Vista,Florida,South,2002,3:Newest,29.1,42.7,Thrill,Steel,Sit Down,30,1377.9,90,No,0,Reverchon,28.3937,-81.529
Prowler,Worlds of Fun,Kansas City,Missouri,Midwest,2009,3:Newest,51.2,102.3,Extreme,Wood,Sit Down,84.9,3074,150,No,0,Great Coasters International,39.1024,-94.5986
Psycho Mouse,California's Great America,Santa Clara,California,West,2001,3:Newest,30,58,Thrill,Steel,Sit Down,NA,1257,90,No,0,Arrow Dynamics,37.3512,-121.9523
Pteranodon Flyers,Universal Studios Islands of Adventure,Orlando,Florida,South,1999,2:Recent,NA,65,Family,Steel,Suspended,NA,800,88,No,0,NA,28.5452,-81.3733
Puff the Little Fire Dragon,Lagoon,Farmington,Utah,West,1985,2:Recent,16.2,10.8,Kiddie,Steel,Sit Down,NA,197.5,NA,No,0,Zierer,40.9691,-111.9073
Python,Spring Park,Tuscumbia,Alabama,South,2005,3:Newest,10,13,Family,Steel,Sit Down,12,300,48,No,0,E&F Miler Industries,34.666,-87.7492
Python Pit,Fast Lane Entertainment,Lowell,Arkansas,South,2016,3:Newest,15.7,11.5,Family,Steel,Sit Down,10,240,NA,No,0,E&F Miler Industries,36.2554,-94.1308
Python Pit,Go Bananas,Norridge,Illinois,Midwest,1997,2:Recent,15.7,11.5,Family,Steel,Sit Down,10,300,NA,No,0,E&F Miler Industries,41.9743,-87.8271
Python Pit,Jeepers,Sterling Heights,Michigan,Midwest,2016,3:Newest,10,13,Family,Steel,Sit Down,13,300,NA,No,0,E&F Miler Industries,42.5644,-83.0685
Python Pit,PowerPlay Family Entertainment Center,Kansas City,Missouri,Midwest,2014,3:Newest,10,11.5,Family,Steel,Sit Down,10,300,48,No,0,E&F Miler Industries,39.1024,-94.5986
Python Pit,Go-Karts Plus,Williamsburg,Virginia,South,2007,3:Newest,8,13,Family,Steel,Sit Down,12,300,48,No,0,E&F Miler Industries,37.3105,-76.7468
Quicksilver Express,Gilroy Gardens Family Theme Park,Gilroy,California,West,2001,3:Newest,32,38,Thrill,Steel,Sit Down,NA,2139,95,No,0,Morgan,37.0233,-121.4938
Racer,Kings Island,Mason,Ohio,Midwest,1972,1:Older,53,88,Extreme,Wood,Sit Down,83,3415,120,No,0,"Philadelphia Toboggan Coasters, Inc.",39.3601,-84.3099
Racer,Kennywood,West Mifflin,Pennsylvania,Northeast,1927,1:Older,40,72.5,Thrill,Wood,Sit Down,50,4500,92,No,0,NA,40.3625,-79.8984
Racer 75,Kings Dominion,Doswell,Virginia,South,1975,1:Older,56,85,Extreme,Wood,Sit Down,81,3368.5,135,No,0,"Philadelphia Toboggan Coasters, Inc.",37.8601,-77.4642
Ragin' Cajun,Blue Bayou Dixie Landin',Baton Rouge,Louisiana,South,2001,3:Newest,47,125,Extreme,Steel,Sit Down,125,935,108,Yes,3,Vekoma,30.4492,-91.1856
Ragin' Cajun,Six Flags America,Upper Marlboro,Maryland,South,2014,3:Newest,29.1,42.7,Thrill,Steel,Sit Down,30,1377.9,90,No,0,Zamperla,38.8162,-76.7861
Raging Bull,Six Flags Great America,Gurnee,Illinois,Midwest,1999,2:Recent,73,202,Extreme,Steel,Sit Down,208,5057,150,No,0,Bolliger & Mabillard,42.3751,-87.9397
