Coaster,Park,City,State,Census Region,Year Opened,AgeGroup,TopSpeed,MaxHeight,Scale,Type,Design,Drop,Length,Duration,Inversions?,# of Inversions,Make,Latitude,Longitude
Big Bad John,Magic Springs Theme and Water Park,Hot Springs,Arkansas,South,2002,3:Newest,37,32,Thrill,Steel,Sit Down,41,2349,180,No,0,Arrow Dynamics,34.6437,-92.9976
Big Dipper,Camden Park,Huntington,West Virginia,South,1958,1:Older,NA,50,Thrill,Wood,Sit Down,35,NA,100,No,0,National Amusement Device Company,38.3717,-82.4129
Big Thunder Mountain Railroad,Disneyland,Anaheim,California,West,1979,1:Older,28,NA,Thrill,Steel,Sit Down,NA,2671,NA,No,0,Dynamic Attractions,33.845,-117.9522
Big Thunder Mountain Railroad,Walt Disney World - Magic Kingdom,Lake Buena Vista,Florida,South,1980,2:Recent,36,45,Thrill,Steel,Sit Down,35,2780,210,No,0,NA,28.3937,-81.529
Big Timber Log Ride,Enchanted Forest,Turner,Oregon,West,1996,2:Recent,30,50,Thrill,Steel,Sit Down,40,NA,330,No,0,E&F Miler Industries,44.7952,-122.9422
Bizarro,Six Flags Great Adventure,Jackson,New Jersey,Northeast,1999,2:Recent,61,142,Extreme,Steel,Sit Down,132,3985,140,Yes,7,Bolliger & Mabillard,40.1052,-74.3528
Black Diamond,Knoebels Amusement Resort,Elysburg,Pennsylvania,Northeast,2011,3:Newest,12,35,Family,Steel,Sit Down,NA,NA,230,No,0,"Philadelphia Toboggan Coasters, Inc.",40.8594,-76.5508
Blazin' Buckaroo,Elitch Gardens,Denver,Colorado,West,2013,3:Newest,15,16,Family,Steel,Sit Down,13,337,NA,No,0,E&F Miler Industries,39.7602,-104.9966
Blazing Fury,Dollywood,Pigeon Forge,Tennessee,South,1978,1:Older,22,22,Family,Steel,Sit Down,NA,1520,189,No,0,NA,35.786,-83.5622
Blue Hawk,Six Flags Over Georgia,Austell,Georgia,South,1992,2:Recent,52,122,Extreme,Steel,Sit Down,109,2742,80,Yes,5,Vekoma,33.8369,-84.6307
Blue Streak,Cedar Point,Sandusky,Ohio,Midwest,1964,1:Older,40,78,Thrill,Wood,Sit Down,72,2558,105,No,0,"Philadelphia Toboggan Coasters, Inc.",41.3991,-82.7244
Blue Streak,Conneaut Lake Park,Conneaut Lake,Pennsylvania,Northeast,1938,1:Older,50,87,Family,Wood,Sit Down,79,2900,140,No,0,NA,41.6162,-80.3068
Boardwalk Bullet,Kemah Boardwalk,Kemah,Texas,South,2007,3:Newest,51,96,Extreme,Wood,Sit Down,92,3236,120,No,0,Martin & Vleminckx,29.5427,-95.0205
Bobsleds,Seabreeze,Rochester,New York,Northeast,1954,1:Older,23,31,Family,Steel,Sit Down,16,1240,89,No,0,NA,43.286,-77.6843
Bombora,Lagoon,Farmington,Utah,West,2011,3:Newest,31,45,Family,Steel,Sit Down,NA,1040,71,No,0,NA,40.9691,-111.9073
Boomerang,Elitch Gardens,Denver,Colorado,West,1999,2:Recent,47,116.5,Extreme,Steel,Sit Down,125,935,108,Yes,3,Vekoma,39.7602,-104.9966
Boomerang,Wild Adventures,Valdosta,Georgia,South,1998,2:Recent,47,116.5,Extreme,Steel,Sit Down,125,935,108,Yes,3,Vekoma,30.7539,-83.3321
Boomerang,Worlds of Fun,Kansas City,Missouri,Midwest,2000,3:Newest,47,116.5,Extreme,Steel,Sit Down,125,935,108,Yes,3,Vekoma,39.1024,-94.5986
Boomerang,Six Flags St. Louis,Eureka,Missouri,Midwest,2013,3:Newest,47,116.5,Extreme,Steel,Sit Down,125,935,108,Yes,3,Vekoma,38.5128,-90.6306
Boomerang,Six Flags Fiesta Texas,San Antonio,Texas,South,1999,2:Recent,47,116.5,Extreme,Steel,Sit Down,125,935,108,Yes,3,Vekoma,29.4684,-98.5289
Boomerang Coast to Coaster,Six Flags Discovery Kingdom,Vallejo,California,West,1998,2:Recent,47,116.5,Extreme,Steel,Sit Down,116,935,108,Yes,3,Vekoma,38.1874,-122.2241
Boomerang Coast to Coaster,Six Flags Darien Lake,Darien Center,New York,Northeast,1998,2:Recent,47,116.5,Extreme,Steel,Sit Down,116,935,108,Yes,3,Vekoma,42.896,-78.3857
Boss,Six Flags St. Louis,Eureka,Missouri,Midwest,2000,3:Newest,66.3,122,Extreme,Wood,Sit Down,150,4631,186,No,0,"Custom Coasters International, Inc.",38.5128,-90.6306
Boulder Dash,Lake Compounce,Bristol,Connecticut,Northeast,2000,3:Newest,60,110,Extreme,Wood,Sit Down,115,4725,150,No,0,"Custom Coasters International, Inc.",41.6812,-72.9396
Bubbles The Coaster,Storybook Land,Egg Harbor Township,New Jersey,Northeast,2000,3:Newest,NA,16,Family,Steel,Sit Down,NA,NA,84,No,0,E&F Miler Industries,39.3741,-74.6118
Cannibal,Lagoon,Farmington,Utah,West,2015,3:Newest,70,208,Extreme,Steel,Sit Down,203,2735,150,Yes,4,NA,40.9691,-111.9073
Cannon Ball,Lake Winnepesaukah,Rossville,Georgia,South,1967,1:Older,50,70,Thrill,Wood,Sit Down,70,2272,94,No,0,"Philadelphia Toboggan Coasters, Inc.",34.9831,-85.2861
Canobie Corkscrew,Canobie Lake Park,Salem,New Hampshire,Northeast,1987,2:Recent,45,73,Extreme,Steel,Sit Down,65,1250,90,Yes,2,Arrow Dynamics,42.7884,-71.2009
Canyon Blaster,Six Flags Magic Mountain,Valencia,California,West,1999,2:Recent,10,8,Family,Steel,Sit Down,6,416,52,No,0,E&F Miler Industries,34.4658,-118.5538
Canyon Blaster,Adventuredome,Las Vegas,Nevada,West,1993,2:Recent,41,94,Extreme,Steel,Sit Down,66,2423,90,Yes,4,Arrow Dynamics,36.1737,-115.1065
Canyon Blaster,Great Escape,Queensbury,New York,Northeast,2003,3:Newest,45,56,Thrill,Steel,Sit Down,NA,2036,150,No,0,Arrow Dynamics,43.341,-73.6859
